Data,,,,,,,,,,,,,
,,,,,,,,,,,,,
Product ID,Product Name,Product Type,Category,Supplier,Purchase Price ($),Selling Price ($),Purchased Stock Quantity,Restock Level,Supplier Lead Time (Days),Units Sold,Store Location,Supplier Rating,Product Description
PID001,Metal Frame Bed,Bed Frame,Furniture,Elite Distributors,863.68,1200.5152,108,38,13,48,Chicago,2.9,A sturdy and stylish bed frame with ample storage options.
PID002,King Size Bed,Bed Frame,Furniture,Fast Retail,1275.74,1773.2786,182,22,2,161,Chicago,3.8,A sturdy and stylish bed frame with ample storage options.
PID003,Queen Size Bed,Bed Frame,Furniture,Global Traders,323.75,450.0125,175,22,3,124,Chicago,3.7,A sturdy and stylish bed frame with ample storage options.
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PID006,Storage Bed,Bed Frame,Furniture,Global Traders,1327.28,1844.9192,64,20,5,42,Chicago,4.5,A sturdy and stylish bed frame with ample storage options.
PID023,JBL Charge 5,Bluetooth Speaker,Electronics,Fast Retail,185.38,257.6782,47,26,12,20,Chicago,2.5,A portable Bluetooth speaker with deep bass and excellent sound clarity.
PID024,Ultimate Ears Boom 3,Bluetooth Speaker,Electronics,Elite Distributors,1822.72,2533.5808,28,39,12,15,Chicago,3.1,A portable Bluetooth speaker with deep bass and excellent sound clarity.
PID028,Sony SRS-XB43,Bluetooth Speaker,Electronics,Urban Supply Co.,554.35,770.5465,94,24,6,75,Chicago,4.3,A portable Bluetooth speaker with deep bass and excellent sound clarity.
PID029,Bose SoundLink Revolve+,Bluetooth Speaker,Electronics,Urban Supply Co.,1592.78,2213.9642,43,19,8,23,Chicago,4,A portable Bluetooth speaker with deep bass and excellent sound clarity.
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PID040,Marshall Emberton,Bluetooth Speaker,Electronics,Urban Supply Co.,452.13,628.4607,58,47,9,43,Chicago,3.7,A portable Bluetooth speaker with deep bass and excellent sound clarity.
PID045,Wooden Bookshelf,Bookshelf,Furniture,Elite Distributors,1333.56,1853.6484,124,29,4,38,Chicago,2.9,A modern bookshelf with multiple compartments for books and decorative items.
PID046,Metal Bookshelf,Bookshelf,Furniture,Elite Distributors,1097.59,1525.6501,170,44,7,107,Chicago,4.4,A modern bookshelf with multiple compartments for books and decorative items.
PID049,Modular Bookshelf,Bookshelf,Furniture,Global Traders,1293.08,1797.3812,131,46,4,77,Chicago,4,A modern bookshelf with multiple compartments for books and decorative items.
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PID050,Glass Bookshelf,Bookshelf,Furniture,Elite Distributors,886.71,1232.5269,55,39,13,19,Chicago,3.7,A modern bookshelf with multiple compartments for books and decorative items.
PID058,Wall-mounted Bookshelf,Bookshelf,Furniture,Urban Supply Co.,402.93,560.0727,179,28,11,124,Chicago,4.1,A modern bookshelf with multiple compartments for books and decorative items.
PID068,Panasonic Lumix GH6,Camera,Electronics,Elite Distributors,808.66,1124.0374,62,19,10,55,Chicago,4.7,A professional-grade camera with high-resolution imaging and video recording capabilities.
PID069,Fujifilm X-T5,Camera,Electronics,Urban Supply Co.,986.94,1371.8466,26,50,5,15,Chicago,3.9,A professional-grade camera with high-resolution imaging and video recording capabilities.
PID071,Canon EOS R5,Camera,Electronics,Elite Distributors,1802.96,2506.1144,81,33,14,32,Chicago,3,A professional-grade camera with high-resolution imaging and video recording capabilities.
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PID073,Sony Alpha A7 IV,Camera,Electronics,Global Traders,1585.3,2203.567,43,18,8,43,Chicago,2.8,A professional-grade camera with high-resolution imaging and video recording capabilities.
PID074,Nikon Z9,Camera,Electronics,Global Traders,406.17,564.5763,100,13,3,91,Chicago,4,A professional-grade camera with high-resolution imaging and video recording capabilities.
PID085,Round Dining Table,Dining Table,Furniture,Global Traders,1473.76,2048.5264,133,40,9,103,Chicago,3.3,A durable and elegant dining table that complements any dining room decor.
PID086,Marble Dining Table,Dining Table,Furniture,Global Traders,87.53,121.6667,53,10,13,51,Chicago,3.9,A durable and elegant dining table that complements any dining room decor.
PID088,Glass Dining Table,Dining Table,Furniture,Global Traders,484.55,673.5245,198,24,6,119,Chicago,3.7,A durable and elegant dining table that complements any dining room decor.
PID092,Expandable Dining Table,Dining Table,Furniture,Global Traders,375.43,521.8477,52,23,13,29,Chicago,4.8,A durable and elegant dining table that complements any dining room decor.
PID094,Wooden Dining Table,Dining Table,Furniture,Global Traders,706.23,981.6597,25,7,11,21,Chicago,3.4,A durable and elegant dining table that complements any dining room decor.
PID114,Apple AirPods Max,Headphones,Electronics,Global Traders,1991.36,2767.9904,17,10,15,7,Chicago,2.9,High-quality noise-canceling headphones for an immersive audio experience.
PID115,Sony WH-1000XM5,Headphones,Electronics,Fast Retail,1135.88,1578.8732,55,28,3,45,Chicago,4.8,High-quality noise-canceling headphones for an immersive audio experience.
PID117,Sennheiser HD 660S,Headphones,Electronics,Global Traders,579.36,805.3104,10,36,10,8,Chicago,3.8,High-quality noise-canceling headphones for an immersive audio experience.
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PID118,JBL Tune 750,Headphones,Electronics,Elite Distributors,679.35,944.2965,20,33,6,10,Chicago,3.4,High-quality noise-canceling headphones for an immersive audio experience.
PID121,Bose QuietComfort 45,Headphones,Electronics,Global Traders,1450.37,2016.0143,95,19,4,45,Chicago,5,High-quality noise-canceling headphones for an immersive audio experience.
PID133,MacBook Air M2,Laptop,Electronics,Elite Distributors,992.43,1379.4777,91,33,7,62,Chicago,3.3,"A powerful laptop suitable for gaming, business, and creative professionals."
PID134,Dell XPS 15,Laptop,Electronics,Global Traders,885.14,1230.3446,55,46,8,51,Chicago,4.5,"A powerful laptop suitable for gaming, business, and creative professionals."
PID137,Asus ROG Strix,Laptop,Electronics,Global Traders,1296.01,1801.4539,39,24,4,29,Chicago,3.8,"A powerful laptop suitable for gaming, business, and creative professionals."
PID140,HP Spectre x360,Laptop,Electronics,Fast Retail,684.54,951.5106,91,40,10,51,Chicago,3.5,"A powerful laptop suitable for gaming, business, and creative professionals."
PID141,Lenovo ThinkPad X1,Laptop,Electronics,Urban Supply Co.,615.5,855.545,67,15,15,24,Chicago,4.9,"A powerful laptop suitable for gaming, business, and creative professionals."
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PID153,Ergonomic Mesh Chair,Office Chair,Furniture,Elite Distributors,467.07,649.2273,147,10,9,89,Chicago,4.7,An ergonomic office chair with lumbar support for all-day comfort.
PID155,Gaming Chair,Office Chair,Furniture,Fast Retail,584.63,812.6357,127,24,15,55,Chicago,3.4,An ergonomic office chair with lumbar support for all-day comfort.
PID156,Adjustable Office Chair,Office Chair,Furniture,Elite Distributors,994.25,1382.0075,126,12,4,119,Chicago,2.8,An ergonomic office chair with lumbar support for all-day comfort.
PID159,Leather Executive Chair,Office Chair,Furniture,Urban Supply Co.,547.4,760.886,122,11,10,49,Chicago,4.5,An ergonomic office chair with lumbar support for all-day comfort.
PID160,Reclining Office Chair,Office Chair,Furniture,Global Traders,936.96,1302.3744,73,44,7,42,Chicago,3.2,An ergonomic office chair with lumbar support for all-day comfort.
PID180,Samsung Galaxy S23,Smartphone,Electronics,Urban Supply Co.,733.5,1019.565,15,27,2,7,Chicago,4.8,A high-performance smartphone with advanced camera features and long battery life.
PID181,OnePlus 11,Smartphone,Electronics,Elite Distributors,1492.87,2075.0893,30,48,14,24,Chicago,4.4,A high-performance smartphone with advanced camera features and long battery life.
PID185,iPhone 14,Smartphone,Electronics,Global Traders,497.05,690.8995,86,31,7,73,Chicago,5,A high-performance smartphone with advanced camera features and long battery life.
PID186,Xiaomi Mi 13,Smartphone,Electronics,Global Traders,1404.05,1951.6295,40,36,10,30,Chicago,3.8,A high-performance smartphone with advanced camera features and long battery life.
PID187,Google Pixel 7,Smartphone,Electronics,Global Traders,905.35,1258.4365,48,11,7,41,Chicago,2.6,A high-performance smartphone with advanced camera features and long battery life.
PID200,Apple Watch Series 8,Smartwatch,Electronics,Fast Retail,1781.66,2476.5074,60,36,12,54,Chicago,2.8,A sleek and feature-rich smartwatch with health tracking and notifications.
PID201,Amazfit GTR 4,Smartwatch,Electronics,Global Traders,946.39,1315.4821,63,35,8,60,Chicago,3.3,A sleek and feature-rich smartwatch with health tracking and notifications.
PID202,Garmin Fenix 7,Smartwatch,Electronics,Elite Distributors,658.68,915.5652,27,47,13,22,Chicago,4.1,A sleek and feature-rich smartwatch with health tracking and notifications.
PID203,Fitbit Sense 2,Smartwatch,Electronics,Elite Distributors,1711.01,2378.3039,47,41,13,41,Chicago,3.4,A sleek and feature-rich smartwatch with health tracking and notifications.
PID204,Samsung Galaxy Watch 5,Smartwatch,Electronics,Global Traders,1540.75,2141.6425,29,6,15,13,Chicago,4.6,A sleek and feature-rich smartwatch with health tracking and notifications.
PID223,Modular Sofa,Sofa Set,Furniture,Urban Supply Co.,447.56,622.1084,166,30,13,110,Chicago,3.1,A stylish and comfortable sofa set designed for modern living spaces.
PID224,Recliner Sofa,Sofa Set,Furniture,Global Traders,368.53,512.2567,124,31,9,120,Chicago,3.3,A stylish and comfortable sofa set designed for modern living spaces.
PID225,L-shaped Sofa,Sofa Set,Furniture,Urban Supply Co.,113.91,158.3349,50,48,9,23,Chicago,3.9,A stylish and comfortable sofa set designed for modern living spaces.
PID226,Sectional Sofa,Sofa Set,Furniture,Global Traders,1305.16,1814.1724,50,16,14,39,Chicago,4.9,A stylish and comfortable sofa set designed for modern living spaces.
PID228,Chesterfield Sofa,Sofa Set,Furniture,Fast Retail,254.71,354.0469,176,34,7,131,Chicago,3.5,A stylish and comfortable sofa set designed for modern living spaces.
PID246,Lenovo Tab P11,Tablet,Electronics,Fast Retail,1387.88,1929.1532,16,50,13,16,Chicago,4.8,"A lightweight tablet with a stunning display and long battery life, perfect for work and entertainment."
PID247,Microsoft Surface Pro 9,Tablet,Electronics,Elite Distributors,668.52,929.2428,100,23,12,81,Chicago,2.8,"A lightweight tablet with a stunning display and long battery life, perfect for work and entertainment."
PID248,Amazon Fire HD 10,Tablet,Electronics,Global Traders,1262.12,1754.3468,43,43,14,28,Chicago,4.3,"A lightweight tablet with a stunning display and long battery life, perfect for work and entertainment."
PID250,Samsung Galaxy Tab S8,Tablet,Electronics,Global Traders,358.36,498.1204,83,6,15,46,Chicago,2.6,"A lightweight tablet with a stunning display and long battery life, perfect for work and entertainment."
PID254,iPad Pro 12.9,Tablet,Electronics,Global Traders,1210.29,1682.3031,37,30,3,29,Chicago,2.6,"A lightweight tablet with a stunning display and long battery life, perfect for work and entertainment."
PID263,Modern TV Stand,TV Stand,Furniture,Fast Retail,1072.08,1490.1912,182,26,10,104,Chicago,3.9,A contemporary TV stand with open shelves and cable management features.
PID265,Floating TV Stand,TV Stand,Furniture,Fast Retail,1399.39,1945.1521,79,16,5,40,Chicago,3.7,A contemporary TV stand with open shelves and cable management features.
PID266,Wooden TV Stand,TV Stand,Furniture,Elite Distributors,1118.78,1555.1042,46,37,6,41,Chicago,2.7,A contemporary TV stand with open shelves and cable management features.
PID268,Minimalist TV Stand,TV Stand,Furniture,Global Traders,1193.36,1658.7704,132,43,13,34,Chicago,3.8,A contemporary TV stand with open shelves and cable management features.
PID270,Glass TV Stand,TV Stand,Furniture,Urban Supply Co.,611.54,850.0406,186,33,14,143,Chicago,4.6,A contemporary TV stand with open shelves and cable management features.
PID285,Walk-in Wardrobe,Wardrobe,Furniture,Elite Distributors,87.61,121.7779,101,33,13,36,Chicago,3.3,A spacious wardrobe with sliding doors and customizable storage options.
PID287,Compact Wardrobe,Wardrobe,Furniture,Global Traders,899.44,1250.2216,115,9,6,105,Chicago,3.8,A spacious wardrobe with sliding doors and customizable storage options.
PID288,Sliding Door Wardrobe,Wardrobe,Furniture,Urban Supply Co.,554.35,770.5465,193,44,4,116,Chicago,3.8,A spacious wardrobe with sliding doors and customizable storage options.
PID290,Mirrored Wardrobe,Wardrobe,Furniture,Elite Distributors,1124.34,1562.8326,104,42,10,36,Chicago,3.2,A spacious wardrobe with sliding doors and customizable storage options.
PID293,2-Door Wardrobe,Wardrobe,Furniture,Global Traders,539.73,750.2247,139,41,5,112,Chicago,3.4,A spacious wardrobe with sliding doors and customizable storage options.
PID001,Metal Frame Bed,Bed Frame,Furniture,Elite Distributors,863.68,1200.5152,27,38,13,21,Houston,2.9,A sturdy and stylish bed frame with ample storage options.
PID002,King Size Bed,Bed Frame,Furniture,Fast Retail,1275.74,1773.2786,72,22,2,26,Houston,3.8,A sturdy and stylish bed frame with ample storage options.
PID003,Queen Size Bed,Bed Frame,Furniture,Global Traders,323.75,450.0125,124,22,3,111,Houston,3.7,A sturdy and stylish bed frame with ample storage options.
PID006,Storage Bed,Bed Frame,Furniture,Global Traders,1327.28,1844.9192,150,20,5,54,Houston,4.5,A sturdy and stylish bed frame with ample storage options.
PID023,JBL Charge 5,Bluetooth Speaker,Electronics,Fast Retail,185.38,257.6782,37,26,12,32,Houston,2.5,A portable Bluetooth speaker with deep bass and excellent sound clarity.
PID024,Ultimate Ears Boom 3,Bluetooth Speaker,Electronics,Elite Distributors,1822.72,2533.5808,70,39,12,34,Houston,3.1,A portable Bluetooth speaker with deep bass and excellent sound clarity.
PID028,Sony SRS-XB43,Bluetooth Speaker,Electronics,Urban Supply Co.,554.35,770.5465,16,24,6,14,Houston,4.3,A portable Bluetooth speaker with deep bass and excellent sound clarity.
PID029,Bose SoundLink Revolve+,Bluetooth Speaker,Electronics,Urban Supply Co.,1592.78,2213.9642,13,19,8,7,Houston,4,A portable Bluetooth speaker with deep bass and excellent sound clarity.
